Time,Average Power (mW)
05-10-2024 03:51:32,13732.300884955752
05-10-2024 03:52:02,9781.034934497817
05-10-2024 03:52:32,9943.88986784141
05-10-2024 03:53:02,32940.51739130435
05-10-2024 03:53:32,22161.27391304348
05-10-2024 03:54:02,9917.053333333333
05-10-2024 03:54:32,11594.247787610619
05-10-2024 03:55:02,26491.083333333332
05-10-2024 03:55:32,18996.13157894737
05-10-2024 03:56:02,10107.418918918918
05-10-2024 03:56:32,7828.253393665158
05-10-2024 03:57:02,8128.704545454545
05-10-2024 03:57:32,10155.859728506788
05-10-2024 03:58:02,8913.58371040724
05-10-2024 03:58:32,8240.330275229358
05-10-2024 03:59:02,7804.542986425339
05-10-2024 03:59:32,7805.04128440367
05-10-2024 04:00:02,7818.240909090909
05-10-2024 04:00:32,7805.3835616438355
05-10-2024 04:01:02,7814.004524886878
05-10-2024 04:01:32,7829.390909090909
05-10-2024 04:02:02,7798.572727272727
05-10-2024 04:02:32,7816.722727272727
05-10-2024 04:03:02,7799.490909090909
05-10-2024 04:03:32,7788.166666666667
05-10-2024 04:04:02,7804.6940639269405
05-10-2024 04:04:32,7782.867579908676
05-10-2024 04:05:02,7780.54794520548
05-10-2024 04:05:32,7793.031818181818
05-10-2024 04:06:02,7774.381818181818
05-10-2024 04:06:32,7763.0502283105025
05-10-2024 04:07:02,7769.602739726028
05-10-2024 04:07:32,7754.243243243243
05-10-2024 04:08:02,7744.413636363636
05-10-2024 04:08:32,7787.981566820276
05-10-2024 04:09:02,7741.93665158371
05-10-2024 04:09:32,7762.954751131222
05-10-2024 04:10:02,7772.059090909091
05-10-2024 04:10:32,7746.972850678733
05-10-2024 04:11:02,7749.931818181818
05-10-2024 04:11:32,7774.899543378995
05-10-2024 04:12:02,7746.696832579186
05-10-2024 04:12:32,7758.513636363637
05-10-2024 04:13:02,7767.356481481482
05-10-2024 04:13:32,7745.247706422018
05-10-2024 04:14:02,7731.302752293578
05-10-2024 04:14:32,7769.200913242009
05-10-2024 04:15:02,7764.0502283105025
05-10-2024 04:15:32,7749.751131221719
05-10-2024 04:16:02,7775.54128440367
05-10-2024 04:16:32,7760.509090909091
05-10-2024 04:17:02,7749.244343891402
05-10-2024 04:17:32,7769.932126696833
05-10-2024 04:18:02,7752.690909090909
05-10-2024 04:18:32,7752.216216216216
05-10-2024 04:19:02,7760.9497716894975
05-10-2024 04:19:32,7740.122171945702
05-10-2024 04:20:02,7738.27149321267
05-10-2024 04:20:32,7757.237442922375
05-10-2024 04:21:02,7774.675675675676
05-10-2024 04:21:32,7759.755656108598
05-10-2024 04:22:02,7744.155251141552
05-10-2024 04:22:32,7773.854545454546
05-10-2024 04:23:02,7740.751152073733
05-10-2024 04:23:32,7741.65
05-10-2024 04:24:02,7761.882352941177
05-10-2024 04:24:32,7748.470588235294
05-10-2024 04:25:02,7749.328828828829
05-10-2024 04:25:32,7773.605504587156
05-10-2024 04:26:02,7741.527522935779
05-10-2024 04:26:32,7741.018099547511
05-10-2024 04:27:02,7749.185520361991
05-10-2024 04:27:32,7763.840909090909
05-10-2024 04:28:02,7743.726027397261
05-10-2024 04:28:32,7759.401785714285
05-10-2024 04:29:02,7756.424657534247
05-10-2024 04:29:32,7738.284403669725
05-10-2024 04:30:02,7762.376146788991
05-10-2024 04:30:32,7740.286363636364
05-10-2024 04:31:02,7771.126696832579
05-10-2024 04:31:32,7743.95045045045
05-10-2024 04:32:02,7735.601809954751
05-10-2024 04:32:32,7770.986301369863
05-10-2024 04:33:02,7734.178899082569
05-10-2024 04:33:32,7739.981735159818
05-10-2024 04:34:02,7762.96803652968
05-10-2024 04:34:32,7742.864253393665
05-10-2024 04:35:02,7732.261467889908
05-10-2024 04:35:32,7733.135135135135
05-10-2024 04:36:02,7747.790909090909
05-10-2024 04:36:32,7716.316513761468
05-10-2024 04:37:02,7711.634703196347
05-10-2024 04:37:32,7743.380090497738
05-10-2024 04:38:02,7711.854545454546
05-10-2024 04:38:32,7715.497737556561
05-10-2024 04:39:02,7711.445454545455
05-10-2024 04:39:32,7742.262443438914
05-10-2024 04:40:02,7711.334841628959
05-10-2024 04:40:32,7714.8009049773755
05-10-2024 04:41:02,7743.018181818182
05-10-2024 04:41:32,7712.9324324324325
05-10-2024 04:42:02,7714.816513761468
05-10-2024 04:42:32,7709.2466367713005
05-10-2024 04:43:02,7737.756756756757
05-10-2024 04:43:32,7710.266968325792
05-10-2024 04:44:02,7712.418918918919
05-10-2024 04:44:32,7713.509090909091
05-10-2024 04:45:02,7745.644144144144
05-10-2024 04:45:32,7710.783783783784
05-10-2024 04:46:02,7709.878378378378
05-10-2024 04:46:32,7743.538461538462
05-10-2024 04:47:02,7711.8899082568805
05-10-2024 04:47:32,7713.740909090909
05-10-2024 04:48:02,7710.213636363636
05-10-2024 04:48:32,7746.628440366972
05-10-2024 04:49:02,7711.844748858448
05-10-2024 04:49:32,7713.572072072072
05-10-2024 04:50:02,7711.554545454545
05-10-2024 04:50:32,7745.388127853881
05-10-2024 04:51:02,7716.378378378378
05-10-2024 04:51:32,7738.643835616438
05-10-2024 04:52:02,7726.4524886877825
05-10-2024 04:52:32,7730.37556561086
05-10-2024 04:53:02,7717.6108597285065
05-10-2024 04:53:32,7710.698630136986
05-10-2024 04:54:02,7742.135135135135
05-10-2024 04:54:32,7711.192660550459
05-10-2024 04:55:02,7709.695454545455
05-10-2024 04:55:32,7711.41095890411
05-10-2024 04:56:02,7745.564814814815
05-10-2024 04:56:32,7715.068493150685
05-10-2024 04:57:02,7713.16894977169
05-10-2024 04:57:32,7742.2972972972975
05-10-2024 04:58:02,7710.5091743119265
05-10-2024 04:58:32,7713.361111111111
05-10-2024 04:59:02,7709.058823529412
05-10-2024 04:59:32,7741.65
05-10-2024 05:00:02,7709.506849315068
05-10-2024 05:00:32,7712.327272727272
05-10-2024 05:01:02,7709.72972972973
05-10-2024 05:01:32,7738.671232876713
05-10-2024 05:02:02,7709.040909090909
05-10-2024 05:02:32,7712.727272727273
05-10-2024 05:03:02,7709.941176470588
05-10-2024 05:03:32,7743.246575342466
05-10-2024 05:04:02,7709.520547945205
05-10-2024 05:04:32,7711.882352941177
05-10-2024 05:05:02,7710.431818181818
05-10-2024 05:05:32,7748.0502283105025
05-10-2024 05:06:02,7701.296803652968
05-10-2024 05:06:32,7711.588235294118
05-10-2024 05:07:02,7709.345291479821
05-10-2024 05:07:32,7715.140909090909
05-10-2024 05:08:02,7744.090497737557
05-10-2024 05:08:32,7714.704545454545
05-10-2024 05:09:02,7707.357798165138
05-10-2024 05:09:32,7714.023041474655
05-10-2024 05:10:02,7739.594594594595
05-10-2024 05:10:32,7714.218181818182
05-10-2024 05:11:02,7713.103603603604
05-10-2024 05:11:32,7711.7692307692305
05-10-2024 05:12:02,7740.481818181818
05-10-2024 05:12:32,7713.32735426009
05-10-2024 05:13:02,7711.652968036529
05-10-2024 05:13:32,7715.316742081448
05-10-2024 05:14:02,7709.091324200913
05-10-2024 05:14:32,7737.774774774774
05-10-2024 05:15:02,7709.07305936073
05-10-2024 05:15:32,7710.5161290322585
05-10-2024 05:16:02,7711.41628959276
05-10-2024 05:16:32,7740.477272727273
05-10-2024 05:17:02,7709.972727272727
05-10-2024 05:17:32,7713.689497716895
05-10-2024 05:18:02,7739.343891402715
05-10-2024 05:18:32,7718.780821917808
05-10-2024 05:19:02,7709.995433789954
05-10-2024 05:19:32,7714.445945945946
05-10-2024 05:20:02,7745.261467889908
05-10-2024 05:20:32,7713.376146788991
05-10-2024 05:21:02,7709.09633027523
05-10-2024 05:21:32,7718.16742081448
05-10-2024 05:22:02,7740.733944954129
05-10-2024 05:22:32,7712.554054054054
05-10-2024 05:23:02,7709.45
05-10-2024 05:23:32,7711.470588235294
05-10-2024 05:24:02,7711.35294117647
05-10-2024 05:24:32,7745.881818181818
05-10-2024 05:25:02,7714.854545454546
05-10-2024 05:25:32,7714.603603603604
05-10-2024 05:26:02,7721.402714932126
05-10-2024 05:26:32,7757.226244343891
05-10-2024 05:27:02,7719.103603603604
05-10-2024 05:27:32,7713.07305936073
05-10-2024 05:28:02,7713.736363636363
05-10-2024 05:28:32,7716.630136986301
05-10-2024 05:29:02,7743.1621621621625
05-10-2024 05:29:32,7714.022935779816
05-10-2024 05:30:02,7716.9497716894975
05-10-2024 05:30:32,7718.755656108598
05-10-2024 05:31:02,7714.334862385321
05-10-2024 05:31:32,7749.9
05-10-2024 05:32:02,7719.665158371041
05-10-2024 05:32:32,7721.045454545455
05-10-2024 05:33:02,7715.831818181819
05-10-2024 05:33:32,7757.009090909091
05-10-2024 05:34:02,7726.0502283105025
05-10-2024 05:34:32,7729.331818181819
05-10-2024 05:35:02,7723.318181818182
05-10-2024 05:35:32,7736.045454545455
05-10-2024 05:36:02,7767.604545454546
05-10-2024 05:36:32,7737.2831050228315
05-10-2024 05:37:02,7753.398190045249
05-10-2024 05:37:32,7752.013574660634
05-10-2024 05:38:02,7765.393665158371
05-10-2024 05:38:32,7766.018181818182
05-10-2024 05:39:02,7737.8949771689495
05-10-2024 05:39:32,7770.0224215246635
05-10-2024 05:40:02,7753.976958525345
05-10-2024 05:40:32,7753.587155963302
05-10-2024 05:41:02,7804.527272727273
05-10-2024 05:41:32,7755.887387387387
05-10-2024 05:42:02,7754.737556561086
05-10-2024 05:42:32,7768.333333333333
05-10-2024 05:43:02,7741.036199095022
05-10-2024 05:43:32,7780.805429864254
05-10-2024 05:44:02,7754.05
05-10-2024 05:44:32,7744.136363636364
05-10-2024 05:45:02,7793.131818181818
05-10-2024 05:45:32,7755.68778280543
05-10-2024 05:46:02,7744.409090909091
05-10-2024 05:46:32,7764.817351598173
05-10-2024 05:47:02,7810.197247706422
05-10-2024 05:47:32,7767.981900452489
05-10-2024 05:48:02,7759.109090909091
05-10-2024 05:48:32,7760.85520361991
05-10-2024 05:49:02,7760.918918918919
05-10-2024 05:49:32,7801.840182648401
05-10-2024 05:50:02,7768.813636363637
05-10-2024 05:50:32,7771.780821917808
05-10-2024 05:51:02,7766.752252252252
05-10-2024 05:51:32,7763.311926605505
05-10-2024 05:52:02,7788.572727272727
05-10-2024 05:52:32,7772.882882882883
05-10-2024 05:53:02,7782.242152466368
05-10-2024 05:53:32,7765.513513513513
05-10-2024 05:54:02,7766.2307692307695
05-10-2024 05:54:32,7802.340909090909
05-10-2024 05:55:02,7772.950226244344
05-10-2024 05:55:32,7778.41095890411
05-10-2024 05:56:02,7775.386363636364
05-10-2024 05:56:32,7762.178082191781
